,location,kilometers_driven,fuel_type,transmission,owner_type,mileage,engine,power,seats,price,make,model,region,car_age,car_name,power_per_cc
54,Chennai,54000,Petrol,Manual,Third,18.9,1197.0,82.0,5.0,1.2809338454620642,Hyundai,Grand,South,4,Hyundai Grand,0.06850459482038429
55,Kolkata,39000,Petrol,Manual,First,15.04,1598.0,103.2,5.0,1.3837912309017721,Volkswagen,Vento,East,4,Volkswagen Vento,0.06458072590738423
56,Kochi,16542,Petrol,Manual,First,25.17,799.0,53.3,5.0,1.1939224684724346,Renault,KWID,South,2,Renault KWID,0.06670838548185232
57,Kolkata,32000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,0.7275486072772777,Hyundai,i10,East,9,Hyundai i10,0.06591478696741855
58,Hyderabad,121812,Diesel,Automatic,First,13.29,1995.0,147.6,5.0,2.0476928433652555,Nissan,X-Trail,South,9,Nissan X-Trail,0.07398496240601503
59,Hyderabad,39300,Petrol,Manual,First,18.2,998.0,67.1,5.0,0.8109302162163288,Maruti,Zen,South,9,Maruti Zen,0.06723446893787574
60,Mumbai,22000,Diesel,Manual,First,13.68,2393.0,147.8,8.0,2.803360380906535,Toyota,Innova,West,2,Toyota Innova,0.06176347680735479
61,Bangalore,72000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,1.0116009116784799,Ford,Figo,South,9,Ford Figo,0.04860614724803431
62,Delhi,58000,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,3.2846635654062037,Mercedes-Benz,New,North,4,Mercedes-Benz New,0.10356347438752785
63,Pune,65000,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,2.302585092994046,Mercedes-Benz,New,West,8,Mercedes-Benz New,0.07914338919925512
64,Chennai,178000,Diesel,Manual,First,25.0,1396.0,69.0,5.0,0.9162907318741551,Tata,Indica,South,3,Tata Indica,0.0494269340974212
65,Jaipur,65664,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,2.6026896854443837,Audi,A4,North,7,Audi A4,0.07113821138211382
66,Mumbai,63000,Petrol,Automatic,Second,16.4,1497.0,78.0,5.0,0.6151856390902335,Honda,City,West,12,Honda City,0.052104208416833664
68,Pune,63000,Diesel,Manual,First,24.52,1248.0,88.5,7.0,2.0980179272527715,Maruti,Ertiga,West,3,Maruti Ertiga,0.07091346153846154
69,Mumbai,13000,Diesel,Manual,First,22.1,1396.0,88.7,5.0,2.3513752571634776,Hyundai,Creta,West,1,Hyundai Creta,0.06353868194842408
70,Mumbai,73000,Petrol,Automatic,First,8.5,4806.0,500.0,5.0,2.6741486494265287,Others,Cayenne,West,11,Others Cayenne,0.10403662089055347
71,Mumbai,55729,Diesel,Manual,First,15.1,2179.0,140.0,7.0,2.2669579153508947,Mahindra,XUV500,West,4,Mahindra XUV500,0.06424965580541533
72,Kochi,45178,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,1.247032293786383,Hyundai,i10,South,7,Hyundai i10,0.06591478696741855
73,Kochi,56066,Diesel,Manual,First,19.64,1461.0,108.5,5.0,1.9344157696295783,Nissan,Terrano,South,4,Nissan Terrano,0.07426420260095824
74,Coimbatore,37300,Petrol,Automatic,Second,16.5,1198.0,86.8,5.0,1.8656293177945105,Honda,Brio,South,3,Honda Brio,0.07245409015025041
75,Delhi,56000,Diesel,Automatic,Second,18.53,1968.0,187.74,5.0,3.3843902633457743,Audi,A6,North,5,Audi A6,0.09539634146341464
76,Jaipur,111111,Diesel,Manual,First,17.8,1399.0,74.27432432432433,5.0,0.6931471805599453,Ford,Fiesta,North,11,Ford Fiesta,0.05309101095377007
77,Chennai,230000,Petrol,Manual,Third,12.4,1998.0,132.0,8.0,1.5040773967762742,Toyota,Innova,South,13,Toyota Innova,0.06606606606606606
78,Hyderabad,104000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,2.463853240590168,Toyota,Innova,South,7,Toyota Innova,0.0408981555733761
79,Hyderabad,87591,Petrol,Manual,First,17.200217391304346,1086.0,62.279310344827586,5.0,0.26236426446749106,Hyundai,Santro,South,14,Hyundai Santro,0.057347431256747315
80,Jaipur,95100,Diesel,Manual,First,22.9,1248.0,74.0,5.0,1.3217558399823195,Maruti,Swift,North,7,Maruti Swift,0.05929487179487179
81,Pune,70000,Petrol,Manual,First,17.57,1193.0,88.7,5.0,1.5040773967762742,Tata,Zest,West,2,Tata Zest,0.07435037720033529
82,Kochi,54944,Petrol,Manual,First,18.0,1198.0,86.7,5.0,1.572773928062509,Honda,Amaze,South,3,Honda Amaze,0.07237061769616027
83,Hyderabad,70337,Diesel,Manual,First,20.0,1399.0,68.0,5.0,1.0296194171811581,Ford,Figo,South,7,Ford Figo,0.04860614724803431
84,Jaipur,99638,Diesel,Manual,First,23.2,1248.0,73.94,5.0,1.1346227261911428,Maruti,Ritz,North,6,Maruti Ritz,0.05924679487179487
85,Delhi,52000,Petrol,Manual,First,17.8,1497.0,117.3,5.0,1.1786549963416462,Honda,City,North,10,Honda City,0.0783567134268537
86,Delhi,75000,Diesel,Automatic,Second,16.73,1995.0,218.0,5.0,2.631888840136646,BMW,5,North,8,BMW 5,0.10927318295739348
87,Pune,95980,Petrol,Manual,First,20.36,1197.0,78.9,5.0,0.8109302162163288,Hyundai,i10,West,10,Hyundai i10,0.06591478696741855
88,Bangalore,16000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,1.749199854809259,Hyundai,Grand,South,3,Hyundai Grand,0.06850459482038429
89,Hyderabad,73745,Petrol,Manual,First,17.0,1086.0,62.279310344827586,5.0,0.7419373447293773,Hyundai,Santro,South,12,Hyundai Santro,0.057347431256747315
90,Mumbai,18949,Petrol,Manual,First,17.8,1198.0,86.7,5.0,1.6094379124341003,Honda,Amaze,West,3,Honda Amaze,0.07237061769616027
91,Delhi,107000,Diesel,Manual,First,13.0,2982.0,168.5,7.0,2.803360380906535,Toyota,Fortuner,North,5,Toyota Fortuner,0.05650570087189805
92,Coimbatore,48367,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,3.6783239401744194,Audi,A6,South,1,Audi A6,0.08858231707317074
93,Delhi,57000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,1.7047480922384253,Ford,Ecosport,North,6,Ford Ecosport,0.05997329773030708
94,Delhi,58000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,2.0918640616783932,Mahindra,XUV500,North,5,Mahindra XUV500,0.06424965580541533
95,Kolkata,30000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,1.252762968495368,Honda,Amaze,East,4,Honda Amaze,0.06582109479305741
96,Kolkata,34212,Diesel,Manual,First,22.07,1199.0,73.9,5.0,1.0260415958332743,Volkswagen,Polo,East,6,Volkswagen Polo,0.06163469557964971
97,Ahmedabad,70002,Diesel,Manual,First,16.2,1493.0,110.0,5.0,1.2383742310432684,Hyundai,Verna,West,9,Hyundai Verna,0.07367716008037509
98,Bangalore,62000,Petrol,Manual,First,18.9,998.0,67.1,5.0,1.4929040961781488,Maruti,Wagon,South,3,Maruti Wagon,0.06723446893787574
99,Delhi,62001,Petrol,Manual,First,15.26,1598.0,103.5,5.0,0.9745596399981308,Volkswagen,Polo,North,9,Volkswagen Polo,0.06476846057571965
100,Pune,78958,Diesel,Manual,Second,23.0,1396.0,90.0,5.0,1.33500106673234,Hyundai,i20,West,8,Hyundai i20,0.06446991404011461
101,Mumbai,30180,Petrol,Manual,First,18.5,1197.0,82.85,5.0,1.536867219599265,Hyundai,i20,West,5,Hyundai i20,0.06921470342522974
102,Pune,32851,Petrol,Manual,First,19.83,1198.0,67.0,7.0,1.3737155789130306,Others,GO,West,2,Others GO,0.055926544240400666
103,Kolkata,30000,Diesel,Automatic,First,14.94,2967.0,241.4,5.0,2.2823823856765264,Audi,A4,East,9,Audi A4,0.08136164475901585
104,Pune,66000,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,0.9932517730102834,Hyundai,i20,West,10,Hyundai i20,0.06683375104427736
105,Coimbatore,93850,Petrol,Manual,First,14.0,796.0,35.0,5.0,0.8796267475025636,Maruti,Omni,South,9,Maruti Omni,0.04396984924623116
106,Ahmedabad,53000,Petrol,Manual,First,17.71,1197.0,78.9,5.0,1.3609765531356006,Toyota,Etios,West,5,Toyota Etios,0.06591478696741855
107,Hyderabad,78000,Diesel,Automatic,Second,14.74,2993.0,270.9,5.0,3.1780538303479458,Others,XF,South,8,Others XF,0.09051119278316071
108,Delhi,65000,Diesel,Manual,Second,16.0,2179.0,140.0,7.0,1.749199854809259,Mahindra,XUV500,North,7,Mahindra XUV500,0.06424965580541533
109,Kolkata,40000,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,1.6582280766035324,Hyundai,Verna,East,5,Hyundai Verna,0.07984829329962073
110,Mumbai,30000,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,2.9575110607337933,Toyota,Innova,West,2,Toyota Innova,0.062250453720508164
111,Coimbatore,38053,Petrol,Manual,First,15.1,1196.0,73.0,5.0,1.3635373739972745,Maruti,Eeco,South,2,Maruti Eeco,0.061036789297658864
112,Bangalore,25500,Petrol,Manual,First,25.4,624.0,37.5,4.0,0.7654678421395714,Tata,Nano,South,5,Tata Nano,0.06009615384615385
113,Mumbai,56087,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,3.0325462466767075,BMW,3,West,4,BMW 3,0.09523809523809523
114,Delhi,71088,Petrol,Manual,First,13.5,1799.0,130.0,5.0,1.208960345836975,Honda,Civic,North,9,Honda Civic,0.07226236798221233
115,Ahmedabad,55000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,2.4078456036515385,Toyota,Innova,West,5,Toyota Innova,0.04033680834001604
116,Bangalore,32700,Diesel,Automatic,First,23.3,1984.0,150.0,5.0,2.995732273553991,Others,V40,South,5,Others V40,0.07560483870967742
117,Coimbatore,39882,Petrol,Automatic,First,19.15,1198.0,75.94,5.0,1.8794650496471605,Nissan,Micra,South,3,Nissan Micra,0.0633889816360601
118,Mumbai,128000,Petrol,Automatic,First,10.8,2497.0,215.0,5.0,1.9459101490553132,BMW,5,West,10,BMW 5,0.08610332398878655
119,Mumbai,55000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,2.0149030205422647,Maruti,Vitara,West,3,Maruti Vitara,0.07091346153846154
120,Mumbai,102000,Petrol,Manual,Second,17.0,1086.0,62.279310344827586,5.0,-0.16251892949777494,Hyundai,Santro,West,14,Hyundai Santro,0.057347431256747315
121,Pune,53753,Diesel,Automatic,Second,15.0,2143.0,107.3,5.0,2.8183982582710754,Mercedes-Benz,B,West,5,Mercedes-Benz B,0.050069995333644424
122,Kolkata,10250,Diesel,Manual,First,22.0,1582.0,126.2,5.0,2.3933394562625097,Hyundai,Verna,East,1,Hyundai Verna,0.0797724399494311
123,Pune,43874,Petrol,Manual,First,18.9,998.0,67.1,5.0,0.8960880245566357,Maruti,Wagon,West,8,Maruti Wagon,0.06723446893787574
124,Coimbatore,32684,Petrol,Automatic,First,21.9,624.0,37.48,4.0,1.172482137234565,Tata,Nano,South,2,Tata Nano,0.06006410256410256
125,Kolkata,42000,Diesel,Manual,First,12.05,2179.0,120.0,8.0,2.0476928433652555,Mahindra,Scorpio,East,5,Mahindra Scorpio,0.05507113354749885
126,Kolkata,28352,Petrol,Automatic,First,11.7,1796.0,178.0,5.0,2.2353763433005955,Mercedes-Benz,New,East,10,Mercedes-Benz New,0.09910913140311804
127,Pune,89900,CNG,Manual,First,26.6,998.0,58.16,5.0,1.1786549963416462,Maruti,Wagon,West,6,Maruti Wagon,0.05827655310621242
128,Bangalore,47700,Petrol,Manual,Second,10.8,2354.0,152.0,5.0,1.6582280766035324,Honda,CR-V,South,12,Honda CR-V,0.06457094307561598
129,Pune,55000,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,1.9810014688665833,Volkswagen,Vento,West,4,Volkswagen Vento,0.06889185580774367
130,Kochi,44285,Petrol,Manual,First,20.73,1373.0,91.1,5.0,2.010894999144726,Maruti,Ciaz,South,2,Maruti Ciaz,0.0663510560815732
131,Jaipur,54000,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,2.583997552432231,Mahindra,XUV500,North,3,Mahindra XUV500,0.06424965580541533
132,Coimbatore,30232,Petrol,Manual,First,21.1,1197.0,85.8,5.0,1.7595805708638197,Maruti,Ritz,South,3,Maruti Ritz,0.07167919799498747
133,Hyderabad,88500,Petrol,Manual,First,24.07,998.0,67.1,5.0,0.9555114450274363,Maruti,Alto,South,5,Maruti Alto,0.06723446893787574
134,Kolkata,13372,Petrol,Automatic,First,19.0,2996.0,362.07,2.0,3.9889840465642745,Mercedes-Benz,SLC,East,2,Mercedes-Benz SLC,0.12085113484646194
135,Kochi,12645,Petrol,Automatic,First,17.0,1591.0,121.3,5.0,2.4423470353692043,Hyundai,Verna,South,0,Hyundai Verna,0.07624135763670647
136,Chennai,94385,Petrol,Manual,Second,19.7,796.0,46.3,5.0,0.47000362924573563,Maruti,Alto,South,9,Maruti Alto,0.05816582914572864
137,Coimbatore,31821,Diesel,Automatic,First,20.58,1995.0,143.0,5.0,2.8460714989995846,BMW,1,South,4,BMW 1,0.07167919799498747
138,Mumbai,12000,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,1.791759469228055,Honda,Jazz,West,4,Honda Jazz,0.07397831526271893
139,Delhi,88578,Petrol,Manual,First,13.5,1799.0,130.0,5.0,1.3737155789130306,Honda,Civic,North,7,Honda Civic,0.07226236798221233
140,Kochi,44965,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,2.8875901149342877,Mercedes-Benz,New,South,5,Mercedes-Benz New,0.07932804479701354
141,Kolkata,45044,Diesel,Manual,First,25.8,1498.0,98.6,5.0,1.308332819650179,Honda,Amaze,East,5,Honda Amaze,0.06582109479305741
142,Kochi,34204,Petrol,Manual,First,22.0,1197.0,81.8,5.0,1.691939133945844,Maruti,Swift,South,3,Maruti Swift,0.0683375104427736
143,Kochi,80759,Petrol,Manual,Third,17.0,1086.0,62.279310344827586,5.0,0.5128236264286637,Hyundai,Santro,South,11,Hyundai Santro,0.057347431256747315
144,Coimbatore,91235,Diesel,Manual,First,11.5,2982.0,171.0,7.0,2.6019486702196644,Toyota,Fortuner,South,7,Toyota Fortuner,0.05734406438631791
145,Pune,38800,Petrol,Manual,First,18.6,1199.0,76.8,5.0,1.0473189942805592,Chevrolet,Beat,West,5,Chevrolet Beat,0.0640533778148457
146,Chennai,83000,Diesel,Manual,First,21.14,1498.0,103.52,5.0,1.55814461804655,Skoda,Rapid,South,6,Skoda Rapid,0.06910547396528705
147,Kochi,41283,Petrol,Manual,First,20.73,1373.0,91.1,5.0,2.2925347571405443,Maruti,Ciaz,South,1,Maruti Ciaz,0.0663510560815732
148,Mumbai,23000,Petrol,Automatic,First,11.05,2894.0,444.0,4.0,3.6109179126442243,Audi,RS5,West,6,Audi RS5,0.15342087076710437
149,Mumbai,48000,Diesel,Automatic,First,21.76,1995.0,190.0,5.0,3.2771447329921766,BMW,3,West,5,BMW 3,0.09523809523809523
150,Coimbatore,48214,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,3.1493113614822916,Audi,A4,South,4,Audi A4,0.08858231707317074
151,Chennai,35000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,1.8325814637483102,Maruti,Swift,South,3,Maruti Swift,0.05929487179487179
152,Kolkata,35277,Petrol,Automatic,First,7.81,5461.0,362.9,5.0,3.4011973816621555,Mercedes-Benz,S,East,9,Mercedes-Benz S,0.06645303058047976
153,Coimbatore,54620,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,2.288486168614544,Skoda,Rapid,South,3,Skoda Rapid,0.06910547396528705
154,Pune,136997,Diesel,Automatic,First,17.2,1968.0,138.1,5.0,2.1400661634962708,Skoda,Superb,West,7,Skoda Superb,0.07017276422764228
155,Kochi,14322,Petrol,Manual,First,21.1,814.0,55.2,5.0,1.4422019930581866,Hyundai,EON,South,0,Hyundai EON,0.06781326781326781
156,Jaipur,65634,Diesel,Manual,First,22.07,1199.0,73.9,5.0,1.252762968495368,Volkswagen,Polo,North,7,Volkswagen Polo,0.06163469557964971
157,Kolkata,6000,Petrol,Manual,First,20.63,1198.0,67.06,5.0,0.9162907318741551,Others,GO,East,3,Others GO,0.05597662771285476
158,Kolkata,33280,Petrol,Manual,First,19.4,1198.0,86.8,5.0,0.8712933659434193,Honda,Brio,East,6,Honda Brio,0.07245409015025041
159,Delhi,29000,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,2.4203681286504293,Mercedes-Benz,B,North,6,Mercedes-Benz B,0.07567398119122257
160,Kochi,42831,Diesel,Manual,First,26.0,1498.0,98.6,5.0,1.9615022438151495,Honda,City,South,4,Honda City,0.06582109479305741
161,Ahmedabad,90000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,2.388762789235098,Toyota,Innova,West,3,Toyota Innova,0.04033680834001604
162,Ahmedabad,24005,Petrol,Manual,First,20.4,1197.0,81.8,5.0,1.824549292051046,Maruti,Swift,West,2,Maruti Swift,0.0683375104427736
163,Mumbai,32792,Diesel,Manual,First,15.1,2179.0,140.0,7.0,2.066862759472976,Mahindra,XUV500,West,7,Mahindra XUV500,0.06424965580541533
164,Kochi,147898,Diesel,Manual,First,22.7,1498.0,89.84,5.0,1.4861396960896067,Ford,Ecosport,South,5,Ford Ecosport,0.05997329773030708
165,Mumbai,131765,Diesel,Manual,First,13.0,2982.0,168.5,7.0,2.6026896854443837,Toyota,Fortuner,West,7,Toyota Fortuner,0.05650570087189805
166,Chennai,65000,Diesel,Automatic,First,21.5,1498.0,108.5,5.0,1.8325814637483102,Volkswagen,Vento,South,6,Volkswagen Vento,0.07242990654205607
167,Jaipur,66123,Diesel,Manual,Second,20.0,1399.0,68.0,5.0,0.7419373447293773,Ford,Figo,North,9,Ford Figo,0.04860614724803431
168,Mumbai,41000,Diesel,Automatic,First,15.3,2993.0,258.0,5.0,3.8066624897703196,BMW,X5,West,4,BMW X5,0.08620113598396258
169,Coimbatore,23550,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,3.51631018876266,Mercedes-Benz,New,South,2,Mercedes-Benz New,0.07821745216985534
170,Bangalore,45000,Petrol,Manual,Second,19.4,1198.0,86.8,5.0,1.2947271675944,Honda,Brio,South,7,Honda Brio,0.07245409015025041
171,Delhi,60000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,1.0116009116784799,Hyundai,i10,North,6,Hyundai i10,0.06591478696741855
172,Bangalore,44414,Diesel,Automatic,First,17.9,2143.0,170.0,5.0,3.7495040759303713,Mercedes-Benz,GLC,South,3,Mercedes-Benz GLC,0.07932804479701354
173,Kolkata,1000,Petrol,Manual,First,18.9,1197.0,81.86,5.0,1.8718021769015913,Hyundai,Grand,East,0,Hyundai Grand,0.0683876357560568
174,Mumbai,62500,Diesel,Automatic,Second,17.68,1968.0,174.33,5.0,2.9444389791664403,Audi,A6,West,7,Audi A6,0.08858231707317074
175,Mumbai,21000,Petrol,Automatic,Second,14.4,1598.0,103.6,5.0,1.4929040961781488,Volkswagen,Vento,West,6,Volkswagen Vento,0.06483103879849812
176,Jaipur,8525,Diesel,Automatic,Second,16.6,1998.0,112.0,5.0,3.1354942159291497,Others,Countryman,North,2,Others Countryman,0.056056056056056056
